gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
595302.500,33.709996,73.090883,557.00,0.000,0.000,2.80,7
595302.600,33.709996,73.090883,557.00,0.000,0.000,2.80,7
595302.700,33.709996,73.090883,557.00,0.000,0.000,2.80,7
595302.800,33.709996,73.090883,557.00,0.000,0.000,2.80,7
595302.900,33.709995,73.090883,557.00,0.000,0.000,2.80,7
595303.000,33.709995,73.090883,557.00,0.000,0.000,2.80,7
595303.100,33.709995,73.090883,557.00,0.000,0.000,2.80,7
595303.200,33.709995,73.090884,557.00,0.000,0.000,2.80,7
595303.300,33.709995,73.090884,557.00,0.000,0.000,2.80,7
595303.400,33.709995,73.090884,557.00,0.000,0.000,2.80,7
595303.500,33.709995,73.090884,557.00,0.000,0.000,2.80,7
595303.600,33.709995,73.090884,557.00,0.000,0.000,2.80,7
595303.700,33.709995,73.090884,557.00,0.000,0.000,2.80,7
595303.800,33.709995,73.090884,557.00,0.000,0.000,2.80,7
595303.900,33.709995,73.090884,556.90,0.000,0.000,2.80,7
595304.000,33.709995,73.090884,556.90,0.000,0.000,2.80,7
595304.100,33.709995,73.090884,556.90,0.000,0.000,2.80,7
595304.200,33.709994,73.090884,556.90,0.000,0.000,2.80,7
595304.300,33.709994,73.090884,556.90,0.000,0.000,2.80,7
595304.400,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595304.500,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595304.600,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595304.700,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595304.800,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595304.900,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595305.000,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595305.100,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595305.200,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595305.300,33.709994,73.090885,556.90,0.000,0.000,2.80,7
595305.400,33.709993,73.090885,556.90,0.000,0.000,2.80,7
595305.500,33.709993,73.090886,556.90,0.000,0.000,2.80,7
595305.600,33.709993,73.090886,556.90,0.000,0.000,2.80,7
595305.700,33.709993,73.090886,556.90,0.000,0.000,2.80,7
595305.800,33.709993,73.090886,556.90,0.000,0.000,2.80,7
595305.900,33.709993,73.090886,556.90,0.000,0.000,2.80,7
595306.000,33.709993,73.090886,556.90,0.000,0.000,2.80,7
595306.100,33.709992,73.090886,556.90,0.000,0.000,2.80,7
595306.200,33.709992,73.090886,556.90,0.000,0.000,2.80,7
595306.300,33.709992,73.090886,556.90,0.000,0.000,2.80,7
595306.400,33.709992,73.090887,556.90,0.000,0.000,2.80,7
595306.500,33.709992,73.090887,556.90,0.000,0.000,2.80,7
595306.600,33.709992,73.090887,556.90,0.000,0.000,2.80,7
595306.700,33.709992,73.090887,556.90,0.000,0.000,2.80,7
595306.800,33.709992,73.090887,556.90,0.000,0.000,2.80,7
595306.900,33.709992,73.090887,556.90,0.000,0.000,2.80,7
595307.000,33.709991,73.090887,556.90,0.000,0.000,2.80,7
595307.100,33.709991,73.090887,556.90,0.000,0.000,2.80,7
595307.200,33.709991,73.090887,556.90,0.000,0.000,2.80,7
595307.300,33.709991,73.090888,556.90,0.000,0.000,2.80,7
595307.400,33.709991,73.090888,556.90,0.000,0.000,2.80,7
595307.500,33.709991,73.090888,556.90,0.000,0.000,2.80,7
595307.600,33.709991,73.090888,556.90,0.000,0.000,2.80,7
595307.700,33.709991,73.090888,556.90,0.000,0.000,2.80,7
595307.800,33.709991,73.090888,556.90,0.000,0.000,2.80,7
595307.900,33.709991,73.090888,556.90,0.000,0.000,2.80,7
595308.000,33.709990,73.090888,556.90,0.000,0.000,2.80,7
595308.100,33.709990,73.090889,556.90,0.000,0.000,2.80,7
595308.200,33.709990,73.090889,556.90,0.000,0.000,2.80,7
595308.300,33.709990,73.090889,556.90,0.000,0.000,2.80,7
595308.400,33.709990,73.090889,556.90,0.000,0.000,2.80,7
595308.500,33.709990,73.090889,556.90,0.000,0.000,2.80,7
595308.600,33.709990,73.090889,556.90,0.000,0.000,2.80,7
595308.700,33.709990,73.090889,556.90,0.000,0.000,2.80,7
595308.800,33.709990,73.090889,556.90,0.000,0.000,2.80,7
595308.900,33.709990,73.090889,556.90,0.000,0.000,2.80,7
595309.000,33.709989,73.090889,556.90,0.000,0.000,2.80,7
595309.100,33.709989,73.090889,556.90,0.000,0.000,2.80,7
595309.200,33.709989,73.090889,556.90,0.000,0.000,2.80,7
595309.300,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595309.400,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595309.500,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595309.600,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595309.700,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595309.800,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595309.900,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595310.000,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595310.100,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595310.200,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595310.300,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595310.400,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595310.500,33.709989,73.090890,556.90,0.000,0.000,2.80,7
595310.600,33.709988,73.090890,556.90,0.000,0.000,2.80,7
595310.700,33.709988,73.090890,556.90,0.000,0.000,2.80,7
595310.800,33.709988,73.090890,556.90,0.000,0.000,2.80,7
595310.900,33.709988,73.090890,556.90,0.000,0.000,2.80,7
595311.000,33.709988,73.090891,556.90,0.000,0.000,2.80,7
595311.100,33.709988,73.090891,556.90,0.000,0.000,2.80,7
595311.200,33.709988,73.090891,556.90,0.000,0.000,2.80,7
595311.300,33.709988,73.090891,556.90,0.000,0.000,2.80,7
595311.400,33.709988,73.090891,556.90,0.000,0.000,2.80,7
595311.500,33.709988,73.090891,556.90,0.000,0.000,2.80,7
595311.600,33.709988,73.090891,556.90,0.000,0.000,2.80,7
595311.700,33.709988,73.090891,556.90,0.000,0.000,2.80,7
595311.800,33.709987,73.090891,556.90,0.000,0.000,2.80,7
595311.900,33.709987,73.090891,556.90,0.000,0.000,2.80,7
595312.000,33.709987,73.090891,556.90,0.000,0.000,2.80,7
595312.100,33.709987,73.090891,556.90,0.000,0.000,2.80,7
595312.200,33.709987,73.090891,556.90,0.000,0.000,2.80,7
595312.300,33.709987,73.090891,556.90,0.000,0.000,2.80,7
595312.400,33.709987,73.090891,556.90,0.000,0.000,2.80,7
595312.500,33.709987,73.090891,556.90,0.000,0.000,2.80,7
595312.600,33.709987,73.090892,556.90,0.000,0.000,2.80,7
595312.700,33.709987,73.090892,556.90,0.000,0.000,2.80,7
595312.800,33.709987,73.090892,556.90,0.000,0.000,2.80,7
595312.900,33.709987,73.090892,556.90,0.000,0.000,2.80,7
595313.000,33.709987,73.090892,556.90,0.000,0.000,2.80,7
595313.100,33.709987,73.090892,556.90,0.000,0.000,2.80,7
595313.200,33.709987,73.090892,556.90,0.000,0.000,2.80,7
595313.300,33.709986,73.090892,556.90,0.000,0.000,2.80,7
595313.400,33.709986,73.090892,556.90,0.000,0.000,2.80,7
595313.500,33.709986,73.090892,556.90,0.000,0.000,2.80,7
595313.600,33.709986,73.090892,556.90,0.000,0.000,2.80,7
595313.700,33.709986,73.090892,556.90,0.000,0.000,2.80,7
595313.800,33.709986,73.090892,556.90,0.000,0.000,2.80,7
595313.900,33.709986,73.090892,556.90,0.000,0.000,2.80,7
595314.000,33.709986,73.090892,557.00,0.000,0.000,2.80,7
595314.100,33.709986,73.090893,557.00,0.000,0.000,2.80,7
595314.200,33.709986,73.090893,557.00,0.000,0.000,2.80,7
595314.300,33.709986,73.090893,557.00,0.000,0.000,2.80,7
595314.400,33.709985,73.090893,557.00,0.000,0.000,2.80,7
595314.500,33.709985,73.090893,557.00,0.000,0.000,2.80,7
595314.600,33.709985,73.090893,557.00,0.000,0.000,2.80,7
595314.700,33.709985,73.090893,557.00,0.000,0.000,2.80,7
595314.800,33.709985,73.090893,557.00,0.000,0.000,2.80,7
595314.900,33.709985,73.090894,557.00,0.000,0.000,2.80,7
595315.000,33.709985,73.090894,557.00,0.000,0.000,2.80,7
595315.100,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595315.200,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595315.300,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595315.400,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595315.500,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595315.600,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595315.700,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595315.800,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595315.900,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595316.000,33.709984,73.090894,557.00,0.000,0.000,2.80,7
595316.100,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595316.200,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595316.300,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595316.400,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595316.500,33.709983,73.090895,557.10,0.000,0.000,2.80,7
595316.600,33.709983,73.090895,557.10,0.000,0.000,2.80,7
595316.700,33.709983,73.090895,557.10,0.000,0.000,2.80,7
595316.800,33.709983,73.090895,557.10,0.000,0.000,2.80,7
595316.900,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.000,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.100,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.200,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.300,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.400,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.500,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.600,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.700,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.800,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595317.900,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595318.000,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595318.100,33.709983,73.090895,557.00,0.000,0.000,2.80,7
595318.200,33.709983,73.090896,557.00,0.000,0.000,2.80,7
595318.300,33.709983,73.090896,557.00,0.000,0.000,2.80,7
595318.400,33.709983,73.090896,557.00,0.000,0.000,2.80,7
595318.500,33.709983,73.090896,557.00,0.000,0.000,2.80,7
595318.600,33.709983,73.090896,557.00,0.000,0.000,2.80,7
595318.700,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595318.800,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595318.900,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.000,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.100,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.200,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.300,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.400,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.500,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.600,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.700,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.800,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595319.900,33.709982,73.090896,557.00,0.000,0.000,2.80,7
