GPStime,lat_deg,lon_deg,h_m,vn_mps,ve_mps
43397,33.7139190168644,73.0883477115877,555.101525855018,0.0438315411385972,0.0254063430274045
43398,33.7139217509009,73.0883495764862,555.345588892233,0.562036669983362,0.317231677466011
43399,33.7139291796065,73.0883544950834,556.00810962962,1.08325654342448,0.594009085535434
43400,33.7139413117567,73.0883623285839,557.08808279736,1.6102590087812,0.856771736591748
43401,33.7139582152169,73.088372941395,558.584175479598,2.14034322108227,1.10783840243197
43402,33.7139222921431,73.0883441693489,555.094835846452,0.0421852492126293,0.018268946533954
43403,33.7139226529733,73.0883438696133,555.185020867502,0.0302356941390302,-0.00198357944191856
43404,33.7139229140212,73.0883437190675,555.335844488814,0.0328549446249649,-0.0101668546222425
43405,33.713923144549,73.0883435423465,555.473189152544,0.0310886744644349,-0.0226400250219874
43406,33.7139234093679,73.0883433123697,555.685972513864,0.0320673855553771,-0.0350240904631201
43407,33.7139236865756,73.0883430700431,556.048223101534,0.0340040213547332,-0.0504995375985094
43408,33.7139239332284,73.0883428897684,556.366677994607,0.0327582593663008,-0.0628649797820606
43409,33.7139241934135,73.0883426767349,556.756333427504,0.0309347499001361,-0.0760513850464436
43410,33.7139244798224,73.0883423823415,557.302930140868,0.0331150813132784,-0.096429091398654
43411,33.7139247892628,73.0883421575722,557.749346379424,0.0347851306282415,-0.112925286578377
43412,33.7139251195862,73.0883418830082,558.227740353206,0.0348830198621277,-0.131017411045883
43413,33.713925461789,73.0883415777323,558.712717741961,0.0331560509358606,-0.151910026559514
43414,33.713925815836,73.0883412557706,559.193271112628,0.0344405041256577,-0.175846503645461
43415,33.7139261775998,73.0883409175225,559.657675486989,0.0403312670947806,-0.19973427627263
43416,33.7139265471939,73.0883402470166,560.431845206069,0.0462936768624138,-0.235942590139205
43417,33.7139269265123,73.0883398387271,560.950526966713,0.0490010941047279,-0.266744632634598
43418,33.713927305651,73.0883397589139,561.190391717246,0.0480229042912363,-0.292244145027223
43419,33.7139276955332,73.0883396270628,561.38557784725,0.049962531793895,-0.316736981849862
43420,33.7139280837587,73.0883394463761,561.535707124509,0.0524554491598132,-0.341882812222649
43421,33.713928458186,73.0883389819023,561.81239161035,0.0518559986225118,-0.371956954679391
43422,33.7139288140339,73.0883381719873,562.210310325027,0.0571489680603567,-0.414855325251774
43423,33.7139291326285,73.0883378249353,562.314873122377,0.0615222548510941,-0.445776767150791
43424,33.7139294435423,73.0883374640741,562.360955216456,0.0612697852248324,-0.481027762181099
43425,33.7139297353734,73.0883371378684,562.346783003071,0.0630749393955632,-0.517883094642418
43426,33.713930007084,73.0883368810518,562.272373601794,0.0653766782200766,-0.551229753114566
43427,33.7139302580512,73.0883366673007,562.156202522805,0.0659926675261595,-0.581711782083058
43428,33.7139305397496,73.0883357989777,562.180128869833,0.0644927970768869,-0.621084056455813
43429,33.7139307990102,73.088334970538,562.152487738291,0.0677691670383409,-0.660755096598897
43430,33.7139310016552,73.0883350199023,561.920729358215,0.0709621979146475,-0.682986569169657
43431,33.7139311961929,73.0883350574788,561.682096634759,0.0718314360596101,-0.699551957979775
43432,33.713931385219,73.0883350105418,561.448505253065,0.0734590893984129,-0.715666338821943
43433,33.7139315713437,73.0883348661109,561.217930451035,0.0721648001969872,-0.730781925562412
43434,33.7139317490824,73.0883346966508,560.989207581151,0.0747095733575894,-0.745591957765256
43435,33.7139319268111,73.088334513344,560.764738859609,0.0729998243810284,-0.756089845945358
43436,33.7139321026208,73.0883343046643,560.544537221082,0.0701346880794339,-0.766322978441562
43437,33.7139323184722,73.0883332344281,560.412986457115,0.0660366870716031,-0.789053219524572
43438,33.7139324697031,73.0883331493536,560.191302605439,0.0612529169122828,-0.793882789820706
43439,33.7139326516088,73.0883321625167,560.04454149236,0.0617005151582263,-0.810575416590746
43440,33.7139328630764,73.0883304197382,559.954468433978,0.0631925174376948,-0.833830749427922
43441,33.7139330014719,73.0883299612949,559.785039547132,0.0603852089573146,-0.828464496489808
43442,33.7139331275732,73.0883296200506,559.613100847462,0.0579050441974897,-0.818661148816577
43443,33.7139332433777,73.0883293554603,559.44036024157,0.0555787314613941,-0.808930797390629
43444,33.7139333898728,73.0883282297565,559.315586444922,0.0518767663987806,-0.809796080604102
43445,33.7139335186208,73.0883272246105,559.183746131137,0.0454555268312553,-0.80699522904577
43446,33.7139336265688,73.0883263727953,559.046447681962,0.0388853308148608,-0.801696674838813
43447,33.7139337448237,73.0883247252503,558.938507749233,0.0357167189897035,-0.806082472154839
43448,33.7139338811892,73.0883223620932,558.852696372429,0.0373869819433525,-0.814952897392469
43449,33.713934004896,73.0883204092131,558.757231526775,0.0375429723739291,-0.816209218875475
43450,33.7139340371567,73.0883213625295,558.603093756363,0.0367934121723339,-0.770131575605206
43451,33.7139340422917,73.0883233359091,558.431977899047,0.0323311676252634,-0.710414941510402
43452,33.7139340308593,73.0883257164354,558.252569033997,0.0344612252226209,-0.643057481979087
43453,33.7139340469523,73.0883273624968,558.086261195829,0.0361342478345503,-0.58999858115785
43454,33.7139341076469,73.0883278586249,557.944580129115,0.0351277672514716,-0.552505427052182
43455,33.7139341593234,73.0883288635285,557.800415532896,0.0326988979084891,-0.513774244246824
43456,33.7139342439104,73.088328948811,557.672554430319,0.0342724517274939,-0.487495287689972
43457,33.7139343112519,73.0883295369663,557.5445499341,0.0329459941882429,-0.451860737584
43458,33.7139344070414,73.0883293880608,557.429160815198,0.0329484585288065,-0.425435491361121
43459,33.7139344857653,73.088329713814,557.313013163162,0.0308891328100512,-0.393841607562929
43460,33.7139345879175,73.0883294876256,557.208848868264,0.0320477465956922,-0.371747847967697
43461,33.7139346906082,73.0883292661311,557.108695847448,0.0342714881464925,-0.353027666753174
