587305.200,33.709787,73.091339,506.70,0.000,0.000,3.20,7
587305.300,33.709787,73.091339,506.60,0.000,0.000,3.20,7
587305.400,33.709787,73.091339,506.60,0.000,0.000,3.20,7
587305.500,33.709787,73.091339,506.60,0.000,0.000,3.20,7
587305.600,33.709787,73.091339,506.50,0.000,0.000,3.20,7
587305.700,33.709787,73.091339,506.50,0.000,0.000,3.20,7
587305.800,33.709787,73.091339,506.40,0.000,0.000,3.20,7
587305.900,33.709787,73.091339,506.40,0.000,0.000,3.20,7
587306.000,33.709787,73.091339,506.40,0.000,0.000,3.20,7
587306.100,33.709788,73.091340,506.30,0.000,0.000,3.20,7
587306.200,33.709788,73.091340,506.30,0.000,0.000,3.20,7
587306.300,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587306.400,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587306.500,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587306.600,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587306.700,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587306.800,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587306.900,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587307.000,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587307.100,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587307.200,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587307.300,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587307.400,33.709788,73.091340,506.20,0.000,0.000,3.20,7
587307.500,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587307.600,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587307.700,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587307.800,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587307.900,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.000,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.100,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.200,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.300,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.400,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.500,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.600,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.700,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.800,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587308.900,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587309.000,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587309.100,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587309.200,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587309.300,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587309.400,33.709788,73.091339,506.20,0.000,0.000,3.20,7
587309.500,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587309.600,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587309.700,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587309.800,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587309.900,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.000,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.100,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.200,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.300,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.400,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.500,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.600,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.700,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.800,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587310.900,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.000,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.100,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.200,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.300,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.400,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.500,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.600,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.700,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.800,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587311.900,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587312.000,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587312.100,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587312.200,33.709787,73.091339,506.20,0.000,0.000,3.20,7
587312.300,33.709787,73.091339,506.20,0.000,0.000,3.20,7
