gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
41426.800,33.7103118,73.0920852,550.00,0.000,0.000,1.00,13
41426.900,33.7103118,73.0920852,550.00,0.000,0.000,1.00,13
41427.000,33.7103118,73.0920852,550.00,0.000,0.000,1.00,13
41427.100,33.7103118,73.0920850,550.00,0.000,0.000,1.00,13
41427.200,33.7103118,73.0920850,550.00,0.000,0.000,1.00,13
41427.300,33.7103118,73.0920850,550.00,0.000,0.000,1.00,13
41427.400,33.7103117,73.0920850,550.00,0.000,0.000,1.00,13
41427.500,33.7103117,73.0920850,550.00,0.000,0.000,1.00,13
41427.600,33.7103117,73.0920850,550.00,0.000,0.000,1.00,13
41427.700,33.7103117,73.0920850,550.00,0.000,0.000,1.00,13
41427.800,33.7103117,73.0920850,550.00,0.000,0.000,1.00,13
41427.900,33.7103117,73.0920850,550.00,0.000,0.000,1.00,13
41428.000,33.7103117,73.0920850,550.00,0.000,0.000,1.00,13
41428.100,33.7103117,73.0920850,550.00,0.000,0.000,1.00,13
41428.200,33.7103115,73.0920850,550.00,0.000,0.000,1.00,13
41428.300,33.7103115,73.0920850,550.00,0.000,0.000,1.00,13
41428.400,33.7103115,73.0920852,550.00,0.000,0.000,1.00,13
41428.500,33.7103115,73.0920852,550.00,0.000,0.000,1.00,13
41428.600,33.7103115,73.0920852,550.00,0.000,0.000,1.00,13
41428.700,33.7103115,73.0920852,550.00,0.000,0.000,1.00,13
41428.800,33.7103113,73.0920852,550.00,0.000,0.000,1.00,13
41428.900,33.7103113,73.0920852,550.00,0.000,0.000,1.00,13
41429.000,33.7103113,73.0920852,550.00,0.000,0.000,1.00,13
41429.100,33.7103113,73.0920852,550.00,0.000,0.000,1.00,13
41429.200,33.7103113,73.0920852,550.00,0.000,0.000,1.00,13
41429.300,33.7103113,73.0920852,550.00,0.000,0.000,1.00,13
41429.400,33.7103113,73.0920852,550.00,0.000,0.000,1.00,13
41429.500,33.7103112,73.0920852,550.00,0.000,0.000,1.00,13
41429.600,33.7103112,73.0920852,550.00,0.000,0.000,1.00,13
41429.700,33.7103112,73.0920852,549.90,0.000,0.000,1.00,13
41429.800,33.7103112,73.0920852,549.90,0.000,0.000,1.00,13
41429.900,33.7103112,73.0920852,549.90,0.000,0.000,1.00,13
41430.000,33.7103112,73.0920852,549.90,0.000,0.000,1.00,13
41430.100,33.7103112,73.0920852,549.90,0.000,0.000,1.00,13
41430.200,33.7103112,73.0920852,549.90,0.000,0.000,1.00,13
41430.300,33.7103112,73.0920852,549.90,0.000,0.000,1.00,13
41430.400,33.7103112,73.0920852,549.90,0.000,0.000,1.00,13
41430.500,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41430.600,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41430.700,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41430.800,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41430.900,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41431.000,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41431.100,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41431.200,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41431.300,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41431.400,33.7103110,73.0920852,549.90,0.000,0.000,1.00,13
41431.500,33.7103108,73.0920852,549.90,0.000,0.000,1.00,13
41431.600,33.7103108,73.0920852,549.90,0.000,0.000,1.00,13
41431.700,33.7103108,73.0920852,549.90,0.000,0.000,1.00,13
41431.800,33.7103108,73.0920850,549.90,0.000,0.000,1.00,13
41431.900,33.7103108,73.0920850,549.90,0.000,0.000,1.00,13
41432.000,33.7103108,73.0920850,549.90,0.000,0.000,1.00,13
41432.100,33.7103108,73.0920850,549.90,0.000,0.000,1.00,13
41432.200,33.7103107,73.0920850,549.90,0.000,0.000,1.00,13
41432.300,33.7103107,73.0920850,549.90,0.000,0.000,1.00,13
41432.400,33.7103107,73.0920850,549.90,0.000,0.000,1.00,13
41432.500,33.7103107,73.0920850,549.90,0.000,0.000,1.00,13
41432.600,33.7103107,73.0920850,549.90,0.000,0.000,1.00,13
41432.700,33.7103107,73.0920850,549.90,0.000,0.000,1.00,13
41432.800,33.7103105,73.0920848,549.90,0.000,0.000,1.00,13
41432.900,33.7103105,73.0920848,549.90,0.000,0.000,1.00,13
41433.000,33.7103105,73.0920848,549.90,0.000,0.000,1.00,13
41433.100,33.7103105,73.0920848,549.90,0.000,0.000,1.00,13
41433.200,33.7103105,73.0920848,549.90,0.000,0.000,1.00,13
41433.300,33.7103103,73.0920848,549.90,0.000,0.000,1.00,13
41433.400,33.7103103,73.0920848,549.90,0.000,0.000,1.00,13
41433.500,33.7103103,73.0920848,549.90,0.000,0.000,1.00,13
41433.600,33.7103103,73.0920848,549.90,0.000,0.000,1.00,13
41433.700,33.7103103,73.0920848,549.90,0.000,0.000,1.00,13
41433.800,33.7103103,73.0920848,549.90,0.000,0.000,1.00,13
41433.900,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.000,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.100,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.200,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.300,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.400,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.500,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.600,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.700,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.800,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41434.900,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41435.000,33.7103102,73.0920847,549.90,0.000,0.000,1.00,13
41435.100,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41435.200,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41435.300,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41435.400,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41435.500,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41435.600,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41435.700,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41435.800,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41435.900,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41436.000,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41436.100,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41436.200,33.7103100,73.0920847,549.90,0.000,0.000,1.00,13
41436.300,33.7103100,73.0920845,549.90,0.000,0.000,1.00,13
41436.400,33.7103100,73.0920845,549.90,0.000,0.000,1.00,13
41436.500,33.7103100,73.0920845,549.90,0.000,0.000,1.00,13
