gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
43399.800,33.7139213,73.0883452,555.10,0.000,0.000,0.80,17
43399.900,33.7139213,73.0883452,555.10,0.000,0.000,0.80,17
43400.100,33.7139213,73.0883450,555.10,0.000,0.000,0.80,17
43400.200,33.7139215,73.0883450,555.10,0.000,0.000,0.80,17
43400.300,33.7139215,73.0883450,555.10,0.000,0.000,0.80,17
43400.400,33.7139217,73.0883448,555.10,0.000,0.000,0.80,17
43400.500,33.7139217,73.0883448,555.10,0.000,0.000,0.80,17
43400.600,33.7139217,73.0883448,555.10,0.000,0.000,0.80,17
43400.700,33.7139218,73.0883447,555.10,0.000,0.000,0.80,17
43400.800,33.7139218,73.0883447,555.10,0.000,0.000,0.80,17
43400.900,33.7139218,73.0883445,555.10,0.000,0.000,0.80,17
43401.100,33.7139220,73.0883445,555.10,0.000,0.000,0.80,17
43401.200,33.7139220,73.0883445,555.10,0.000,0.000,0.80,17
43401.300,33.7139220,73.0883443,555.10,0.000,0.000,0.80,17
43401.400,33.7139222,73.0883443,555.10,0.000,0.000,0.80,17
43401.500,33.7139222,73.0883443,555.10,0.000,0.000,0.80,17
43401.600,33.7139222,73.0883442,555.10,0.000,0.000,0.80,17
43401.700,33.7139223,73.0883442,555.10,0.000,0.000,0.80,17
43401.800,33.7139223,73.0883442,555.10,0.000,0.000,0.80,17
43401.900,33.7139223,73.0883440,555.10,0.000,0.000,0.80,17
43402.000,33.7139225,73.0883440,555.10,0.000,0.000,0.80,17
43402.100,33.7139225,73.0883440,555.10,0.000,0.000,0.80,17
43402.200,33.7139225,73.0883438,555.10,0.000,0.000,0.80,17
43402.300,33.7139225,73.0883438,555.10,0.000,0.000,0.80,17
43402.400,33.7139227,73.0883438,555.10,0.000,0.000,0.80,17
43402.500,33.7139227,73.0883437,555.10,0.000,0.000,0.80,17
43402.600,33.7139227,73.0883437,555.00,0.000,0.000,0.80,17
43402.700,33.7139227,73.0883437,555.00,0.000,0.000,0.80,17
43402.800,33.7139228,73.0883437,555.00,0.000,0.000,0.80,17
43402.900,33.7139228,73.0883437,555.00,0.000,0.000,0.80,17
43403.000,33.7139228,73.0883437,555.00,0.000,0.000,0.80,17
43403.100,33.7139228,73.0883437,555.00,0.000,0.000,0.80,17
